Musicians by Japanese band,Musicians by Japanese band
38 Special (band) members,38 Special;"Don Barnes,Richard Donald ""Don"" Barnes";Bobby Capps,Bobby Capps;Max Carl,Max Carl Gronenthal;"Danny Chauncey,Daniel Smith ""Danny"" Chauncey";Scott Hoffman,Scott Hoffman;Larry Junstrom,Lawrence E. Junstrom;Ken Lyons,Kenneth Leo Lyons;Donnie Van Zant,Donald Newton Van Zant
The 77s members,The 77s;Mark Harmon (musician),Mark Harmon;Michael Roe,Michael Roe;"Aaron Smith (musician),Aaron ""The A-Train"" Smith";Bruce Spencer,Bruce Spencer
The 88 members,The 88;Adam Merrin,Adam Merrin;Todd O'Keefe,Todd O'Keefe;Keith Slettedahl,Keith Konrad Slettedahl
98 Degrees members,98 Degrees;Justin Jeffre,Justin Paul Jeffre;"Drew Lachey,Andrew John ""Drew"" Lachey";Nick Lachey,Nicholas Scott Lachey;Jeff Timmons,Jeffrey Brandon Timmons
112 (band) members,112;Daron Jones,Daron Tavaris Jones;Slim (singer),Marvin Scandrick
183 Club members,183 Club;Jacky Chu,Jacky Chu;Ehlo Huang,Ehlo Huang;Ming Dao,Ming Dao;Sam Wang (actor),Sam Wang;Yen Hsing-su,Yen Hsing-su
213 (group) members,213;Nate Dogg,Nathaniel Dwayne Hale;Snoop Dogg,Calvin Cordozar Broadus Jr.
The 360 Degree Music Experience members,The 360 Degree Music Experience;Hamiet Bluiett,Hamiet Bluiett;Cameron Brown (musician),Cameron Langdon Brown;Dave Burrell,Dave Burrell;Ron Carter,Ronald Levin Carter;Ricky Ford,Ricky Ford;Jimmy Garrison,James Emory Garrison;"Beaver Harris,William Godvin ""Beaver"" Harris";Grachan Moncur III,Grachan Moncur III;Don Pullen,Don Gabriel Pullen;Buster Williams,Charles Anthony
The 411 members,The 411;Tisha Martin,Tisha Martin;Carolyn Owlett,Carolyn Julia Owlett
454 Big Block members,454 Big Block;Jeff Caxide,Jeff Caxide;Alex Garcia-Rivera,Alex Garcia-Rivera;Elgin James,Elgin James
801 (band) members,801;Brian Eno,Brian Peter George St John le Baptiste de la Salle Eno;"Bill MacCormick,William ""Bill"" MacCormick";"Andy Mackay,Andrew ""Andy"" Mackay";Phil Manzanera,Phil Manzanera;Francis Monkman,Francis Monkman;Simon Phillips (drummer),Simon Phillips;Paul Thompson (musician),Paul Thompson;Lloyd Watson,Lloyd Watson
911 (English band) members,911;Lee Brennan,Lee Anthony Brennan;Jimmy Constable,James Michael Constable;"Spike Dawbarn,Simon James ""Spike"" Dawbarn"
1300 Oslo members,1300 Oslo;Jens Petter Antonsen,Jens Petter Antonsen;Erik Balke,Erik Balke;Jon Balke,Jon Georg Balke;Tore Brunborg,Tore Brunborg;Jon Christensen,Jon Ivar Christensen;Olav Dale,Olav Dale;Morten Halle,Morten Halle;Carl Morten Iversen,Carl Morten Iversen;Audun Kleive,Audun Kleive;Nils Petter Molvær,Nils Petter Molvær;Odd Riisnæs,Odd Riisnæs;Trygve Seim,Trygve Seim;Torbjørn Sunde,Torbjørn Sunde
5566 members,5566;Jason Hsu,Jason Hsu;Tony Sun,Tony Sun;Sam Wang (actor),Sam Wang
A-ha members,A-ha;Magne Furuholmen,Magne Furuholmen;Morten Harket,Morten Harket;Paul Waaktaar-Savoy,Paul Waaktaar-Savoy
A-Teens members,A-Teens;Dhani Lennevald,John Dhani Lennevald;Sara Lumholdt,Sara Helena Lumholdt;Amit Sebastian Paul,Amit Sebastian Paul;Marie Serneholt,Marie Eleonor Serneholt
A1 (band) members,A1;Ben Adams,Benjamin Edward Stephen Adams;Christian Ingebrigtsen,Christian Ingebrigtsen;Paul Marazzi,Paul Thomas Leo Marazzi;Mark Read (singer),Mark Daniel Read
Ab und Zu members,Ab und Zu;Eivind Aarset,Eivind Aarset;Tore Brunborg,Tore Brunborg;Kenneth Ekornes,Kenneth Ekornes;Anne-Marie Giørtz,Anne-Marie Giørtz;Ole Henrik Giørtz,Ole Henrik Giørtz;Vidar Johansen (musician),Vidar Johansen;Olaf Kamfjord,Olaf Kamfjord;Audun Kleive,Audun Kleive;Kim Ofstad,Kim Ofstad;Finn Sletten,Finn Sletten;Paolo Vinaccia,Paolo Vinaccia
ABBA members,ABBA;Benny Andersson,Göran Bror;Agnetha Fältskog,Agneta Åse Fältskog;Anni-Frid Lyngstad,Princess Anni-Frid Synni of Reuss, Countess of Plauen;Björn Ulvaeus,Björn Kristian Ulvaeus
Abbath (band) members,Abbath;Olve Eikemo,Olve Eikemo;Kevin Foley (drummer),Kevin Foley;King ov Hell,Tom Cato Visnes
ABC (band) members,ABC;Martin Fry,Martin David Fry;Glenn Gregory,Glenn Peter Gregory;Andy Newmark,Andrew Newmark;Fiona Russell Powell,Fiona Russell Powell;Stephen Singleton,Stephen Barry Singleton;Alan Spenner,Alan Henry Spenner;Mark White (musician),Mark Andrew White;David Yarritu,David Yarritu
Aborym members,Aborym;Attila Csihar,Attila Gábor Csihar;Faust (musician),Bård Guldvik;Set Teitan,Set Teitan
Absent Friends (band) members,Absent Friends;Garry Gary Beers,Garry William Beers;Andrew Duffield,Andrew Peter Duffield;Sean Kelly (Australian musician),Sean Patrick Kelly;Wendy Matthews,Wendy Joan Matthews;James Valentine (journalist),James Matthew Valentine
AC/DC members,AC/DC;Rob Bailey (musician),Rob Bailey;Colin Burgess (musician),Colin John Burgess;Peter Clack,Peter Clack;Tony Currenti,Tony Currenti;Dave Evans (singer),David Evans;Mark Evans (musician),Mark Whitmore Evans;Brian Johnson,Brian Francis Johnson;Paul Matters,Paul Matters;Axl Rose,W. Axl Rose;Phil Rudd,Phillip Hugh Norman Rudd;Bon Scott,Ronald Belford;Chris Slade,Chris Slade;Larry Van Kriedt,Larry Van Kriedt;Cliff Williams,Clifford Williams;Simon Wright (musician),Simon Wright;Angus Young,Angus McKinnon Young;George Young (rock musician),George Redburn Young;Malcolm Young,Malcolm Mitchell Young;Stevie Young,Stephen Crawford Young Jr.
Accept (band) members,Accept;Baby Tuckoo,Baby Tuckoo;Peter Baltes,Peter Baltes;Michael Cartellone,Michael Cartellone;Udo Dirkschneider,Udo Dirkschneider;Jörg Fischer,Jörg Fischer;Herman Frank,Herman Frank;Wolf Hoffmann,Wolf Hoffmann;Stefan Kaufmann (musician),Stefan Kaufmann;Jan Koemmet,Jan Koemmet;Uwe Lulis,Uwe Lulis;Ken Mary,Ken K Mary;David Reece,David L. Reece;Dieter Rubach,Dieter Rubach;Stefan Schwarzmann,Stefan Schwarzmann;Jim Stacey,Jim Stacey;Mark Tornillo,Mark Tornillo;Michael Wagener,Michael Wagener
Ace of Base members,Ace of Base;Jenny Berggren,Jenny Cecilia Petrén;Jonas Berggren,Jonas Petter Berggren;Linn Berggren,Malin Sofia Katarina Berggren;Clara Mae,Clara Hagman;Ulf Ekberg,Ulf Gunnar Ekberg
Acid Reign members,Acid Reign;"Garry Jennings,Garry ""Gaz"" Jennings";Adam Lehan,Adam Lehan;Mark Wharton,Mark Ramsey Wharton
Acoustic Alchemy members,Acoustic Alchemy;Greg Carmichael,Greg Carmichael;Terry Disley,Terry Disley;Eddie M,Eddie Mininfield;Frank Felix,Frank Felix;Miles Gilderdale,Miles Gilderdale;Simon James (musician),Simon James;Nick Webb (musician),Nicholas Webb
Adagio (band) members,Adagio;Richard Andersson,Richard Andersson;Dirk Bruinenberg,Dirk Bruinenberg;Kevin Codfert,Kevin Codfert;Stéphan Forté,Stéphan Forté;Gus Monsanto,Gus Monsanto;Christian Palin,Christian Palin;David Readman,David Readman
Adam Again members,Adam Again;Gene Eugene,Gene Andrusco;Jon Knox,Jon Knox;Riki Michele,Riki Michele
Adam and the Ants members,Adam and the Ants;Adam Ant,Stuart Leslie Goddard;Matthew Ashman,Matthew James Ashman;David Barbarossa,David Barbarossa;Leigh Gorman,Leigh Gorman;Chris Hughes (musician),Christopher Merrick Hughes;Kevin Mooney,Kevin Paul Mooney;Marco Pirroni,Marco Francesco Andrea Pirroni;Mark Ryan (guitarist),Mark Ryan;Lester Square,Lester Square;Gary Tibbs,Gary Tibbs;Andy Warren (British musician),Andrew Warren
Adler's Appetite members,Adler's Appetite;Steven Adler,Steven Adler;Robbie Crane,Robert Crane;Keri Kelli,Keri Kelli;Brent Muscat,Brent Muscat;Jizzy Pearl,Jizzy Pearl;Rick Stitch,Rick Stitch;Erik Turner,Erik Turner
Adolescents (band) members,Adolescents;"Alfie Agnew,Alfonso F. ""Alfie"" Agnew";"Frank Agnew,Francis Thomas ""Frank"" Agnew";"Rikk Agnew,Richard Francis ""Rikk"" Agnew, Jr.";Dan Colburn,Dan Colburn;Derek O'Brien (drummer),Derek Shawn O'Brien;Casey Royer,Casey A. Royer;Pat Smear,Georg Albert Ruthenberg;Steve Soto,Steve Soto;Tony Reflex,Anthony Brandenburg
Adrenaline Mob members,Adrenaline Mob;Russell Allen,Russell Allen;John Moyer,John Moyer;Mike Orlando,Mike Orlando;"A. J. Pero,Anthony Jude ""A.J."" Pero";Mike Portnoy,Michael Stephen Portnoy;Rich Ward,Richard Park Ward
The Adult Net members,The Adult Net;Clem Burke,Clement Burke;Craig Gannon,Craig Gannon;Simon Rogers,Simon Rogers;Andy Rourke,Andrew Michael Rourke;Brix Smith Start,Brix Smith Start
The Adults members,The Adults;Shayne Carter,Shayne P Carter;Julia Deans,Julia Deans;Ladi6,Ladi6;Anika Moa,Anika Rose Moa;Tiki Taane,Tiki Taane;Jon Toogood,Jonathan Charles Toogood
Æon Spoke members,Æon Spoke;Chris Kringel,Chris Kringel;Sean Malone,Sean Malone;Paul Masvidal,Paul Albert Masvidal;Sean Reinert,Sean Reinert
Aerosmith members,Aerosmith;Jimmy Crespo,James Crespo Jr.;"Rick Dufay,Richard Marc ""Rick"" Dufay";Thom Gimbel,Thomas Ellis Gimbel;Tom Hamilton (musician),Thomas William Hamilton;Russ Irwin,Russ Irwin;Joey Kramer,Joseph Michael Kramer;Joe Perry (musician),Joseph Anthony Pereira;Ray Tabano,Ray Tabano;Steven Tyler,Steven Tyler;Brad Whitford,Bradley Ernest Whitford
The Affair (band) members,The Affair;Kerrie Biddell,Kerrie Agnes Biddell;Bob Daisley,Robert John Daisley;Mike Howlett,Michael John Gilmour Howlett
Affinity (band) members,Affinity;Mo Foster,Mo Foster;Linda Hoyle,Linda Nicholas;Vivienne McAuliffe,Vivienne Jill McAuliffe;Grant Serpell,Stephen Grant Serpell
The Afghan Whigs members,The Afghan Whigs;Paul Buchignani,Paul Buchignani;John Curley (musician),John Curley Jr.;Greg Dulli,Greg Dulli;Patrick Keeler,James Patrick Keeler;Dave Rosser,Dave Rosser
AFI (band) members,AFI;Hunter Burgan,Hunter Lawrence Burgan;Adam Carson,Adam Alexander Carson;Davey Havok,David Paden Marchand;Geoff Kresge,Geoff Kresge
Afro Blue Band members,Afro Blue Band;Steve Berrios,Steve Berrios;Lionel Cole,Lionel Cole;Jerry González,Jerry González;Mark Levine (musician),Mark Jay Levine;Dave Liebman,David Liebman;"Melton Mustafa,Melton ""Shakir"" Mustafa Sr. ";Hilton Ruiz,Hilton Ruiz
Afro Celt Sound System members,Afro Celt Sound System;Ronan Browne,Ronan Browne;Simon Emmerson,Simon Emmerson;Johnny Kalsi,Johnny Kalsi;N'Faly Kouyate,N'Faly Kouyate;Griogair Labhruidh,Griogair Labhruidh;James McNally (musician),James McNally;Iarla Ó Lionáird,Iarla Ó Lionáird;Martin Russell,Martin Russell;Davy Spillane,Davy Spillane
After Forever members,After Forever;Jack Driessen,Jack Driessen;Sander Gommans,Sander Gommans;Floor Jansen,Floor Jansen;Mark Jansen,Mark Jansen
Aftershock (band) members,Aftershock;Adam Dutkiewicz,Adam Jonathan Dutkiewicz;Joel Stroetzel,Joel Michael Stroetzel
Against (American band) members,Against;Dan Clements,Daniel Mark Clements;Grant Estes,Grant J. Estes;Louiche Mayorga,Louiche Mayorga;"Amery Smith,Amery ""AWOL"" Smith"
Against Me! members,Against Me!;Laura Jane Grace,Laura Jane Grace;Inge Johansson,Inge Johansson;Warren Oakes,William Warren Oakes;Jay Weinberg,Jay Weinberg;"Atom Willard,Adam David ""Atom"" Willard"
Agbaland members,Agbaland;Sigbjørn Apeland,Sigbjørn Apeland;Terje Isungset,Terje Isungset;Per Jørgensen,Per Jørgensen
Agent Orange (band) members,Agent Orange;Dave Klein (musician),Dave Klein;James Levesque,James Levesque;Brent Liles,Brent Harold Liles;Derek O'Brien (drummer),Derek Shawn O'Brien;Charlie Quintana,Gonzalo Quintana III;Steve Soto,Steve Soto
Aghora (band) members,Aghora;Santiago Dobles,Santiago Dobles;Sean Malone,Sean Malone;Sean Reinert,Sean Reinert
Air (free jazz trio) members,Air;Pheeroan akLaff,Pheeroan akLaff;Andrew Cyrille,Andrew Charles Cyrille;Fred Hopkins,Fred Hopkins;Steve McCall (drummer),Steve McCall;Henry Threadgill,Henry Threadgill
Air Liquide (band) members,Air Liquide;Mary Susan Applegate,Mary Susan Applegate;Ingmar Koch,Ingmar Koch;Cem Oral,Cem Oral
Air Pocket (band) members,Air Pocket;Bruce Fowler,Bruce Lambourne Fowler;Tom Fowler (musician),Thomas W. Fowler;"Stu Goldberg,Stuart Wayne ""Stu"" Goldberg";Mike Miller (guitarist),Mike Miller;Chester Thompson,(1973–1975)
Air Supply members,Air Supply;Guy Allison,Guy Allison;Frank Esler-Smith,Frank Esler-Smith;Rex Goh,Rex Goh;Cheetah (band),Cheetah;Russell Hitchcock,Russell Charles Hitchcock;Mark McEntee,Mark McEntee;Graham Russell,Graham Cyril Russell
Aka Moon members,Aka Moon;Fabrizio Cassol,Fabrizio Cassol;Stéphane Galland,Stéphane Galland;Michel Hatzigeorgiou,Michel Hatzigeorgiou
Alabama (American band) members,Alabama;Jeff Cook,Jeffery A. Cook;Alabama (band),Alabama;Alabama (band),Alabama;Randy Owen,Randy Yeuell Owen
The Alan Bown Set members,The Alan Bown Set;"Mel Collins,Melvyn Desmond ""Mel"" Collins";John Helliwell,John Anthony Helliwell;Robert Palmer (singer),Robert Allen Palmer;Jess Roden,Jess Roden;"Dougie Thomson,Douglas Campbell  ""Dougie"" Thomson"
The Alan Parsons Project members,The Alan Parsons Project;Ian Bairnson,Ian Bairnson;"Mel Collins,Melvyn Desmond ""Mel"" Collins";Laurence Cottle,Laurence Cottle;Stuart Elliott (drummer),Stuart Elliott;Duncan Mackay (musician),Duncan Mackay;Alan Parsons,Alan Parsons;David Paton,David Paton;Andrew Powell,Andrew Powell;Chris Rainbow,Christopher James Harley;Stuart Tosh,Stuart Mcbeath Tosh;Eric Woolfson,Eric Norman Woolfson;Lenny Zakatek,Lenny Zakatek
The Alarm members,The Alarm;Craig Adams (musician),Craig David Adams;Steve Grantley,Steve Grantley;"Mike Peters (musician),Michael Leslie ""Mike"" Peters";Dave Sharp,Dave Sharp;James Stevenson (musician),James Stevenson
The Albion Band members,The Albion Band;Steve Ashley,Steve Frank Ashley;Phil Beer,Phil Beer;Bill Caddick,Lewis Frederick William Caddick;Martin Carthy,Martin Carthy;Dolly Collins,Dorothy Ann Collins;Lol Coxhill,George Lowen Coxhill;Sue Draheim,Sue Draheim;Barry Dransfield,Barry Dransfield;Blair Dunlop,Blair Dunlop;Howard Evans (trumpeter),Howard Evans;Trevor Foster (drummer),Trevor (Fozz) Foster;Sue Harris,Sue Harris;Ashley Hutchings,Ashley Stephen Hutchings;Nic Jones,Nicolas Paul Jones;John Kirkpatrick (musician),John Kirkpatrick;Chris Leslie (musician),Christopher Julien Leslie;Cathy Lesurf,Cathy Lesurf;"Dave Mattacks,David James ""Dave"" Mattacks";Julie Matthews,Julie Matthews;Ken Nicol (musician),Kenneth Stephen Nicol;Simon Nicol,Simon John Breckenridge Nicol;Philip Pickett,Philip Pickett;"Maddy Prior,Madelaine Edith ""Maddy"" Prior";Brian Protheroe,Brian Protheroe;Tim Renwick,Timothy John Pearson Renwick;Colin Ross (pipemaker),Colin Ross;Ric Sanders,Richard 'Ric' Sanders;Martin Simpson,Martin Stewart Simpson;Roger Swallow,Roger Swallow;John Tams,John Tams;Graeme Taylor,Graeme Taylor;Linda Thompson (singer),Linda Thompson;Richard Thompson (musician),Richard Thompson;"Lal Waterson,Elaine ""Lal"" Waterson";Mike Waterson,Michael (Mike) Waterson;Chris While,Chris While;Kellie While,Kellie While;Pete Zorn,Pete Zorn
Alcatrazz members,Alcatrazz;Graham Bonnet,Graham Bonnet;Clive Burr,Clive Burr;Yngwie Malmsteen,Yngwie Johan Malmsteen;Glen Sobel,Glen Sobel;"Jan Uvena,Jannaro ""Jan"" Uvena";Steve Vai,Steven Siro Vai
Alcazar (band) members,Alcazar;Magnus Carlsson,Lars Magnus Carlsson;Lina Hedlund,Lina Maria Hedlund;Annika Kjærgaard,Annika Eva Ingegerd Kjærgaard;Andreas Lundstedt,Andreas Lundstedt;Therese Merkel,Eva Therese Margaretha Merkel
Aleka's Attic members,Aleka's Attic;Rain Phoenix,Rain Joan of Arc Phoenix;River Phoenix,River Jude Phoenix
Alex, Jorge y Lena members,Alex, Jorge y Lena;Lena Burke, Lena Burke;Álex Ubago,Álex Ubago;Jorge Villamizar,Jorge Villamizar
Alexisonfire members,Alexisonfire;Dallas Green (musician),Dallas Michael John Albert Green;"Jordan Hastings,Jordan ""Ratbeard"" Hastings";Wade MacNeil,Wade MacNeil;George Pettit,George Pettit
Alias (band) members,Alias;"Freddy Curci,Federico ""Freddy"" Curci";Denny DeMarchi,Denny DeMarchi;Steve DeMarchi,Steven DeMarchi;Roger Fisher (guitarist),Roger Fisher;Marco Mendoza,Marco Mendoza
Alice Cooper members,Alice Cooper;Teddy Andreadis,Teddy 'Zig Zag' Andreadis;Reb Beach,Richard Earl;Michael Bruce (musician),Michael Owen Bruce;Glen Buxton,Glen Edward Buxton;Tommy Clufetos,Tommy Clufetos;Jimmy DeGrasso,Jimmy DeGrasso;Eric Dover,Eric Dover;Dennis Dunaway,Dennis Dunaway;Pete Friesen,Pete Friesen;Chuck Garric,Chuck Garric;Tommy Henriksen,Tommy Henriksen;Jason Hook,Jason Hook;Steve Hunter,Stephen John Hunter;Todd Jensen,Todd Jensen;Prakash John,Prakash John;Damon Johnson,Damon Rogers Johnson;"Davey Johnstone,David William Logan ""Davey"" Johnstone";Keri Kelli,Keri Kelli;Craig Krampf,Craig Krampf;Tony Levin,Anthony Frederick Levin;Fred Mandel,Frederick Lawrence Mandel;Ken Mary,Ken K Mary;Dee Murray,Dee Murray;Orianthi,Orianthi Penny Panagaris;Mike Pinera,Mike Pinera;Al Pitrelli,Al Pitrelli;Kane Roberts,Kane Roberts;Ryan Roxie,Ryan Roxie;Allan Schwartzberg,Allan Schwartzberg;Erik Scott,Erik Scott;Derek Sherinian,Derek Sherinian;Eric Singer,Eric Singer;Neal Smith (drummer),Neal Smith;Glen Sobel,Glen Sobel;Nita Strauss,Nita Strauss;Paul Taylor (keyboardist),Paul Taylor;"Jan Uvena,Jannaro ""Jan"" Uvena";Dick Wagner,Richard Allen;Kip Winger,Charles Frederick Kip Winger
Alice in Chains members,Alice in Chains;Jerry Cantrell,Jerry Fulton Cantrell Jr.;William DuVall,William Bradley DuVall;Mike Inez,Mike Inez;Sean Kinney,Sean Howard Kinney;Layne Staley,Layne Thomas Staley;Mike Starr (musician),Michael Christopher Starr
Alice N' Chains members,Alice N' Chains;Johnny Bacolas,Johnny Bacolas;James Bergstrom,James Bergstrom;Nick Pollock,Nick Pollock;Layne Staley,Layne Thomas Staley
Alien Crime Syndicate members,Alien Crime Syndicate;Nabil Ayers,Nabil Ayers;Jeff Rouse (musician),Jeff Rouse;Mike Squires (musician),Mike Squires
Alison Krauss & Union Station members,Alison Krauss & Union Station;Barry Bales,Barry Turner Bales;Ron Block,Ronald Franklin Block;Alison Brown,Alison Brown;"Jerry Douglas,Gerald Calvin ""Jerry"" Douglas";Alison Krauss,Alison Maria Krauss;Dan Tyminski,Daniel John Tyminski
Alkaline Trio members,Alkaline Trio;Dan Andriano,Daniel Michael Andriano;Mike Felumlee,Mike Felumlee;Derek Grant (drummer),Derek Richard Grant;Pete Parada,Peter Parada;Glenn Porter,Glenn Porter;Matt Skiba,Matthew Thomas Skiba
All (band) members,All;Karl Alvarez,Karl Matthew Alvarez;Stephen Egerton (guitarist),Stephen Patrick O'Reilly;Chad Price,Chad Price;Scott Reynolds (singer),Scott Reynolds;Dave Smalley,Dave Smalley;Bill Stevenson (musician),John William Stevenson
All About Eve (band) members,All About Eve;Tim Bricheno,Tim Bricheno;Andy Cousin,Andrew 'Andy' Cousin;Toni Haimi,Toni Haimi;Mark Price (musician),Mark Gerard Price;Julianne Regan,Julie-Ann (Julianne) Regan;Marty Willson-Piper,Marty Willson-Piper
All Angels members,All Angels;Rachel Fabri,Rachel Fabri;Charlotte Ritchie,Charlotte Anne Ritchie;Laura Wright (singer),Laura Kathryn Wright
All Saints (group) members,All Saints;Natalie Appleton,Natalie Jane Appleton Howlett;Nicole Appleton,Nicole Marie Appleton;Melanie Blatt,Melanie Ruth Blatt;"Shaznay Lewis,Tricia Marie ""Shaznay"" Lewis"
All That Remains (band) members,All That Remains;Jason Costa,Jason Costa;Matt Deis,Matthew Christopher Deis;Philip Labonte,Philip Steven Labonte;Shannon Lucas,Shannon Lucas;Jeanne Sagan,Jeanne Sagan;Tim Yeung,Tim
